Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
122,MYM 12-25,Playback101,,Short,1,48013,47957,10/12/25 3:38:04 p. m.,10/12/25 3:40:08 p. m.,EntryShort,TP2_Short,$2800,$3.01050,$000,$000,$000,$000,$000,$2150,$3200,$400,3,
123,MYM 12-25,Playback101,,Short,1,48013,47977,10/12/25 3:38:04 p. m.,10/12/25 3:40:08 p. m.,EntryShort,TP2_Short,$1800,$3.02850,$000,$000,$000,$000,$000,$2150,$3200,$1400,3,
124,MCL 01-26,Playback101,,Short,2,58.67,58.74,10/12/25 3:45:08 p. m.,10/12/25 3:52:12 p. m.,EntryShort,Buy to cover,$-1400,$3.01450,$000,$000,$000,$000,$000,$1400,$400,$1800,8,
125,MGC 02-26,Playback101,,Long,1,4215.7,4229.4,10/12/25 3:47:04 p. m.,10/12/25 3:52:35 p. m.,EntryLong,TP1_Long,$13700,$3.15150,$000,$000,$000,$000,$000,$1000,$26300,$12600,6,
126,MNQ 12-25,Playback101,,Short,1,25686.00,25780.00,10/12/25 3:45:08 p. m.,10/12/25 3:54:01 p. m.,EntryShort,SL_Short,$-18800,$2.96350,$000,$000,$000,$000,$000,$21400,$650,$19450,10,
127,MNQ 12-25,Playback101,,Short,1,25686.00,25780.00,10/12/25 3:45:08 p. m.,10/12/25 3:54:01 p. m.,EntryShort,SL_Short,$-18800,$2.77550,$000,$000,$000,$000,$000,$21400,$650,$19450,10,
128,MGC 02-26,Playback101,,Long,1,4215.7,4242.0,10/12/25 3:47:04 p. m.,10/12/25 3:57:14 p. m.,EntryLong,TP2_Long,$26300,$3.03850,$000,$000,$000,$000,$000,$1000,$26300,$000,11,
129,MYM 12-25,Playback101,,Short,2,48194,48220,10/12/25 4:20:22 p. m.,10/12/25 4:20:36 p. m.,EntryShort,SL_Short,$-2600,$3.01250,$000,$000,$000,$000,$000,$3000,$700,$3300,1,
130,MCL 01-26,Playback101,,Short,2,58.91,59.03,10/12/25 4:06:27 p. m.,10/12/25 4:23:05 p. m.,EntryShort,SL_Short,$-2400,$2.98850,$000,$000,$000,$000,$000,$2600,$400,$2800,18,
131,MES 12-25,Playback101,,Short,2,6901.00,6906.75,10/12/25 4:25:26 p. m.,10/12/25 4:33:07 p. m.,EntryShort,SL_Short,$-5750,$2.93100,$000,$000,$000,$000,$000,$5750,$3250,$9000,9,
