2025-12-24 13:18:43:102|1|4|Enabling NinjaScript strategy 'SessionLevelsStrategy/378061504' : On starting a real-time strategy - StartBehavior=WaitUntilFlat EntryHandling=All entries EntriesPerDirection=1 StopTargetHandling=Per entry execution ErrorHandling=Stop strategy, cancel orders, close positions ExitOnSessionClose=True / triggering 30 seconds before close SetOrderQuantityBy=Strategy ConnectionLossHandling=Recalculate DisconnectDelaySeconds=10 CancelEntriesOnStrategyDisable=False CancelExitsOnStrategyDisable=False Calculate=On each tick IsUnmanaged=True MaxRestarts=2880 in 6 minutes
2025-12-24 13:21:58:263|1|16|NinjaScript strategy '/378061504' submitting order
2025-12-24 13:21:58:321|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Submitted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.6 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:327|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Accepted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.6 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:327|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Working' Instrument='MCL 02-26' Action='Sell short' Limit price=57.6 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:333|1|16|NinjaScript strategy '/378061504' submitting order
2025-12-24 13:21:58:350|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Submitted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.6 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:350|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Accepted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.6 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:350|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Working' Instrument='MCL 02-26' Action='Sell short' Limit price=57.6 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:863|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Change submitted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.59 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:866|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Accepted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.59 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:866|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Working' Instrument='MCL 02-26' Action='Sell short' Limit price=57.59 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:866|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Change submitted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.59 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:866|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Accepted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.59 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:58:867|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Working' Instrument='MCL 02-26' Action='Sell short' Limit price=57.59 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:59:591|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Change submitted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.58 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:59:592|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Accepted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.58 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:59:592|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Working' Instrument='MCL 02-26' Action='Sell short' Limit price=57.58 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:59:592|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Change submitted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.58 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:59:592|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Accepted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.58 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:21:59:592|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Working' Instrument='MCL 02-26' Action='Sell short' Limit price=57.58 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:01:548|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Change submitted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.57 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:01:549|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Accepted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.57 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:01:549|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Working' Instrument='MCL 02-26' Action='Sell short' Limit price=57.57 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:01:549|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Change submitted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.57 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:01:549|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Accepted' Instrument='MCL 02-26' Action='Sell short' Limit price=57.57 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:01:549|1|32|Order='7b9a35f565144c9a9d5faf11ae4f80c9/Playback101' Name='EntryA_Short_2' New state='Working' Instrument='MCL 02-26' Action='Sell short' Limit price=57.57 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:02:787|1|32|Order='6750a98cf1fd4e58a2e85811583ef844/Playback101' Name='EntryA_Short_1' New state='Filled' Instrument='MCL 02-26' Action='Sell short' Limit price=57.57 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='' Filled=1 Fill price=57.57 Error='No error' Native error=''
2025-12-24 13:22:02:800|1|8|Execution='5f7da914a4ce44679d4287c15f1924c0' Instrument='MCL 02-26' Account='Playback101' Exchange=Default Price=57.57 Quantity=1 Market position=Short Operation=Operation_Add Order='6750a98cf1fd4e58a2e85811583ef844' Time='12/14/2025 10:43 p. m.'
2025-12-24 13:22:02:817|1|16|NinjaScript strategy '/378061504' submitting order
2025-12-24 13:22:02:832|1|32|Order='4f9f62d85eea4f4585a522b2a6bffaee/Playback101' Name='SL_Short_1' New state='Submitted' Instrument='MCL 02-26' Action='Buy to cover' Limit price=0 Stop price=57.62 Quantity=1 Type='Stop Market' Time in force=GTC Oco='OCO_Short_1_639021793228174469' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:02:832|1|32|Order='4f9f62d85eea4f4585a522b2a6bffaee/Playback101' Name='SL_Short_1' New state='Accepted' Instrument='MCL 02-26' Action='Buy to cover' Limit price=0 Stop price=57.62 Quantity=1 Type='Stop Market' Time in force=GTC Oco='OCO_Short_1_639021793228174469' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:02:832|1|16|NinjaScript strategy '/378061504' submitting order
2025-12-24 13:22:02:847|1|32|Order='271a8cc09b624c43a292e8b6ea7d1a7a/Playback101' Name='TP1_Short' New state='Submitted' Instrument='MCL 02-26' Action='Buy to cover' Limit price=57.48 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='OCO_Short_1_639021793228174469' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:02:847|1|32|Order='271a8cc09b624c43a292e8b6ea7d1a7a/Playback101' Name='TP1_Short' New state='Accepted' Instrument='MCL 02-26' Action='Buy to cover' Limit price=57.48 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='OCO_Short_1_639021793228174469' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:02:847|1|32|Order='271a8cc09b624c43a292e8b6ea7d1a7a/Playback101' Name='TP1_Short' New state='Working' Instrument='MCL 02-26' Action='Buy to cover' Limit price=57.48 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='OCO_Short_1_639021793228174469' Filled=0 Fill price=0 Error='No error' Native error=''
2025-12-24 13:22:02:853|1|64|Instrument='MCL 02-26' Account='Playback101' Average price=57.57 Quantity=1 Market position=Short Operation=Operation_Add
