Date,Time,Open,High,Low,Close,Volume,HighVWAP,LowVWAP,LevelPrice
2025-11-30,19:01:00,25737.25,25795.5,25721.25,25769.25,2988,25762.00,25762.00,0.00
2025-11-30,19:02:00,25768,25770.75,25747.25,25750.5,1623,25759.95,25759.95,0.00
2025-11-30,19:03:00,25750.75,25763.25,25741,25746.25,2091,25756.90,25756.90,0.00
2025-11-30,19:04:00,25746.5,25747.5,25724,25730,1703,25752.22,25752.22,0.00
2025-11-30,19:05:00,25730.5,25748,25723.5,25728,1235,25749.78,25749.78,0.00
2025-11-30,19:06:00,25728.25,25736.5,25722.25,25733.25,953,25748.06,25748.06,0.00
2025-11-30,19:07:00,25733.25,25743.75,25730.25,25740.75,643,25747.50,25747.50,0.00
2025-11-30,19:08:00,25741.75,25750.5,25738.25,25744.75,944,25747.27,25747.27,0.00
2025-11-30,19:09:00,25744.25,25753,25743,25750.75,1075,25747.40,25747.40,0.00
2025-11-30,19:10:00,25751.25,25753.25,25747,25751.5,572,25747.53,25747.53,0.00
2025-11-30,19:11:00,25752.25,25752.25,25744.25,25748.25,462,25747.56,25747.56,0.00
2025-11-30,19:12:00,25748.5,25748.75,25742.75,25742.75,338,25747.49,25747.49,0.00
2025-11-30,19:13:00,25743,25753.75,25734.5,25747.5,1178,25747.32,25747.32,0.00
2025-11-30,19:14:00,25747.75,25750.75,25743.25,25749.75,250,25747.33,25747.33,0.00
2025-11-30,19:15:00,25750.25,25755.25,25748.25,25754.5,285,25747.43,25747.43,0.00
2025-11-30,19:16:00,25755.25,25760.75,25748.75,25750.25,1100,25747.79,25747.79,0.00
2025-11-30,19:17:00,25749.75,25756.75,25744.25,25754.5,478,25747.90,25747.90,0.00
2025-11-30,19:18:00,25755,25756.25,25750,25755.5,242,25747.98,25747.98,0.00
2025-11-30,19:19:00,25755.25,25763.25,25754.5,25760,702,25748.40,25748.40,0.00
2025-11-30,19:20:00,25760.75,25768.5,25760.25,25765.25,820,25749.08,25749.08,0.00
2025-11-30,19:21:00,25766,25770.25,25763.5,25766.75,697,25749.69,25749.69,0.00
2025-11-30,19:22:00,25766.5,25770,25766.25,25768.25,321,25749.97,25749.97,0.00
2025-11-30,19:23:00,25768.5,25770.5,25763.25,25765.75,601,25750.44,25750.44,0.00
2025-11-30,19:24:00,25766,25766,25759.5,25762.25,540,25750.74,25750.74,0.00
2025-11-30,19:25:00,25762.5,25769.25,25760.5,25769,414,25751.03,25751.03,0.00
2025-11-30,19:26:00,25768.75,25777.25,25765.75,25769.25,1170,25752.01,25752.01,0.00
2025-11-30,19:27:00,25769.75,25773.25,25758.75,25759,548,25752.28,25752.28,0.00
2025-11-30,19:28:00,25759,25763.75,25757.25,25757.75,451,25752.41,25752.41,0.00
2025-11-30,19:29:00,25758.25,25760.25,25750,25753.5,859,25752.49,25752.49,0.00
2025-11-30,19:30:00,25753.5,25756.5,25748.25,25751.5,596,25752.48,25752.48,0.00
2025-11-30,19:31:00,25750.75,25753.5,25730.25,25735,1704,25751.68,25751.68,0.00
2025-11-30,19:32:00,25734.5,25734.5,25720.75,25730,1536,25750.45,25728.42,0.00
2025-11-30,19:33:00,25730,25734.75,25724.75,25727.25,747,25749.92,25728.58,0.00
2025-11-30,19:34:00,25726.25,25735.5,25725.5,25729,594,25749.53,25728.87,0.00
2025-11-30,19:35:00,25728.25,25729,25714.25,25715.75,1187,25748.41,25719.67,0.00
2025-11-30,19:36:00,25715.75,25724,25711.25,25721.25,1251,25747.28,25718.83,0.00
2025-11-30,19:37:00,25721.25,25732.25,25719,25726.75,1007,25746.65,25722.03,0.00
2025-11-30,19:38:00,25727,25727,25719.75,25725.5,431,25746.37,25722.36,0.00
2025-11-30,19:39:00,25725.75,25727,25720.75,25725,293,25746.18,25722.54,0.00
2025-11-30,19:40:00,25725,25726.75,25714.25,25716.5,659,25745.68,25721.93,0.00
2025-11-30,19:41:00,25715.5,25717.75,25700.75,25706,1623,25744.03,25708.17,0.00
2025-11-30,19:42:00,25706,25717.25,25705.5,25715,789,25743.37,25709.61,0.00
2025-11-30,19:43:00,25713.75,25715.75,25708.5,25711.75,522,25742.94,25710.04,0.00
2025-11-30,19:44:00,25711.75,25712.25,25702.75,25703.25,619,25742.35,25709.35,0.00
2025-11-30,19:45:00,25703.25,25705.25,25697,25697.5,868,25741.43,25699.92,0.00
2025-11-30,19:46:00,25697.5,25712.5,25696,25711.5,1112,25740.48,25706.67,0.00
2025-11-30,19:47:00,25711.25,25711.25,25700.25,25709,692,25739.92,25706.73,0.00
2025-11-30,19:48:00,25708.5,25712,25701.75,25708.75,508,25739.53,25706.90,0.00
2025-11-30,19:49:00,25708.75,25712.5,25706.75,25710.25,510,25739.17,25707.43,0.00
2025-11-30,19:50:00,25709.5,25712.5,25707,25710.75,297,25738.97,25707.68,0.00
2025-11-30,19:51:00,25710.75,25720.25,25709.75,25716.75,698,25738.59,25709.13,0.00
2025-11-30,19:52:00,25716.75,25725,25715.5,25721,674,25738.32,25710.83,0.00
2025-11-30,19:53:00,25720.25,25724.5,25719.25,25720.5,251,25738.22,25711.39,0.00
2025-11-30,19:54:00,25721,25721.5,25712.25,25713.25,427,25738.01,25711.75,0.00
2025-11-30,19:55:00,25713.75,25722,25709.75,25720.5,569,25737.75,25712.31,0.00
2025-11-30,19:56:00,25720.5,25730.5,25720.5,25728,764,25737.56,25713.96,0.00
2025-11-30,19:57:00,25727,25731,25718.5,25723.5,543,25737.41,25714.76,0.00
