Date,Time,Open,High,Low,Close,Volume,HighVWAP,LowVWAP,LevelPrice
2025-12-07,19:01:00,26001.75,26024.25,25997.5,26006.25,1850,26009.33,26009.33,0.00
2025-12-07,19:02:00,26006,26008,25983.5,25994,1479,26003.04,25995.17,0.00
2025-12-07,19:03:00,25994.75,26000,25990.5,25992.5,746,26001.45,25994.89,0.00
2025-12-07,19:04:00,25993.25,25995,25986.25,25990.75,617,26000.03,25993.97,0.00
2025-12-07,19:05:00,25990.75,25992.25,25984.25,25991.75,590,25998.84,25993.19,0.00
2025-12-07,19:06:00,25991,25992,25977.25,25978.25,638,25997.08,25982.50,0.00
2025-12-07,19:07:00,25978.25,25989.5,25972.25,25986,922,25995.13,25982.58,0.00
2025-12-07,19:08:00,25985,25995.25,25983.75,25990,526,25994.74,25985.16,0.00
2025-12-07,19:09:00,25990,26000,25987.75,25995.75,546,25994.72,25987.71,0.00
2025-12-07,19:10:00,25995.5,26000.5,25991.75,25993.5,479,25994.75,25989.17,0.00
2025-12-07,19:11:00,25993,25993.5,25988.25,25991.75,336,25994.61,25989.41,0.00
2025-12-07,19:12:00,25992,25996.25,25991,25995.5,199,25994.61,25989.73,0.00
2025-12-07,19:13:00,25995.5,25996.5,25991,25991.5,210,25994.57,25989.95,0.00
2025-12-07,19:14:00,25990.75,25991.25,25985.5,25985.75,248,25994.38,25989.77,0.00
2025-12-07,19:15:00,25986,25986.25,25976.5,25982.75,734,25993.47,25988.38,0.00
2025-12-07,19:16:00,25982.25,25984.25,25978.25,25982.75,386,25993.04,25987.83,0.00
2025-12-07,19:17:00,25983,25990,25982.25,25989,360,25992.84,25987.77,0.00
2025-12-07,19:18:00,25989.75,25996.5,25987.25,25994.25,529,25992.84,25988.24,0.00
2025-12-07,19:19:00,25993.25,25996,25987.25,25990.75,404,25992.78,25988.46,0.00
2025-12-07,19:20:00,25990.75,25990.75,25983.75,25989.5,340,25992.65,25988.43,0.00
2025-12-07,19:21:00,25990,25996,25989.5,25995.75,321,25992.68,25988.69,0.00
2025-12-07,19:22:00,25994.75,26008,25994.25,26005.25,1125,25993.49,25990.72,0.00
2025-12-07,19:23:00,26004.75,26005.75,25998.5,25999.25,515,25993.77,25991.38,0.00
2025-12-07,19:24:00,25998.75,26004,25997,26003.75,320,25993.95,25991.76,0.00
2025-12-07,19:25:00,26003,26008,26001,26001.75,507,25994.27,25992.43,0.00
2025-12-07,19:26:00,26002.5,26005.5,25999,25999.5,316,25994.42,25992.73,0.00
2025-12-07,19:27:00,25998.75,25999.75,25987.5,25991.5,739,25994.35,25992.74,0.00
2025-12-07,19:28:00,25991.25,25994.25,25989.75,25993.75,247,25994.32,25992.74,0.00
2025-12-07,19:29:00,25994,25999,25991.75,25998.5,199,25994.35,25992.81,0.00
2025-12-07,19:30:00,25999,26001.75,25998,26000,176,25994.41,25992.93,0.00
2025-12-07,19:31:00,25999.75,26004.5,25997,26001.25,377,25994.55,25993.20,0.00
2025-12-07,19:32:00,26001,26005.75,25998.75,25999.5,380,25994.70,25993.47,0.00
2025-12-07,19:33:00,25999.5,26003.75,25997.75,26001.5,159,25994.76,25993.57,0.00
2025-12-07,19:34:00,26001.5,26004,25999,26003.5,193,25994.84,25993.71,0.00
2025-12-07,19:35:00,26003,26005.75,26001.25,26002.5,276,25994.97,25993.93,0.00
2025-12-07,19:36:00,26003.5,26009.75,26003,26004.75,504,25995.26,25994.41,0.00
2025-12-07,19:37:00,26005.5,26008.75,26003.75,26007.25,227,25995.40,25994.62,0.00
2025-12-07,19:38:00,26007.25,26008,26004.25,26004.75,158,25995.49,25994.76,0.00
2025-12-07,19:39:00,26004.75,26005.75,25999.25,26003.5,267,25995.59,25994.92,0.00
2025-12-07,19:40:00,26004,26004,26001.25,26002,128,25995.63,25994.99,0.00
2025-12-07,19:41:00,26002.75,26002.75,25998.25,25999.5,178,25995.67,25995.06,0.00
2025-12-07,19:42:00,25999,26000.25,25996.75,25998,244,25995.71,25995.12,0.00
2025-12-07,19:43:00,25997.5,26003,25993.5,26001.25,413,25995.78,25995.24,0.00
2025-12-07,19:44:00,26001.25,26002.5,26000,26002.25,153,25995.82,25995.30,0.00
2025-12-07,19:45:00,26001.75,26003.25,25999.75,25999.75,107,25995.85,25995.35,0.00
2025-12-07,19:46:00,25999.5,26002,25995.5,25998,251,25995.88,25995.40,0.00
2025-12-07,19:47:00,25998.25,26002.75,25997,26002.5,181,25995.93,25995.47,0.00
2025-12-07,19:48:00,26002.5,26004.75,26001.75,26002.25,145,25995.97,25995.54,0.00
2025-12-07,19:49:00,26002.5,26004.25,26002.5,26003,59,25995.99,25995.57,0.00
2025-12-07,19:50:00,26003.75,26004.25,26001,26001.75,76,25996.02,25995.60,0.00
2025-12-07,19:51:00,26001.75,26004,26000,26004,85,25996.04,25995.64,0.00
2025-12-07,19:52:00,26002.5,26005.75,26001.75,26004.25,135,25996.09,25995.71,0.00
2025-12-07,19:53:00,26004,26004.25,26000.75,26003,161,25996.14,25995.79,0.00
2025-12-07,19:54:00,26002.5,26006.25,26002,26003.25,180,25996.21,25995.88,0.00
2025-12-07,19:55:00,26003.5,26005.75,26002.25,26003.5,85,25996.24,25995.92,0.00
2025-12-07,19:56:00,26004,26007,26003.25,26004.75,104,25996.28,25995.98,0.00
2025-12-07,19:57:00,26004,26005.25,25999.5,25999.5,177,25996.32,25996.04,0.00
2025-12-07,19:58:00,25999.75,26000,25996,26000,256,25996.35,25996.08,0.00
2025-12-07,19:59:00,25999.5,26000,25997,25997,121,25996.36,25996.09,0.00
2025-12-07,20:00:00,25997.75,26000.5,25996.5,25998.75,114,25996.37,25996.11,0.00
