ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
20250106_1,MNQ 03-25,2025-01-06 04:31:00,Short,21577.6021938952,2025-01-06 04:42:00,21595.25,SL_Short_01,-141.18,7.60,-148.78,-141.18,4.82,Asia High,1,-1.00,0,1,0,0,1,4,NT-00001-628
20250106_2,MNQ 03-25,2025-01-06 05:08:00,Short,21630.25,2025-01-06 05:12:00,21641,SL_Short_02,-150.50,13.30,-163.80,-150.50,94.50,Asia High,2,-1.00,0,1,0,0,1,7,NT-00003-628
20250106_3,MNQ 03-25,2025-01-06 05:33:00,Short,21647,2025-01-06 05:48:00,21654.5,SL_Short_03,-150.00,19.00,-169.00,-150.00,265.00,Asia High,3,-1.00,0,1,0,0,1,10,NT-00005-628
20250106_4,MNQ 03-25,2025-01-06 06:07:00,Short,21665.5,2025-01-06 06:12:00,21673.25,SL_Short_04,-155.00,19.00,-174.00,-155.00,70.00,Asia High,4,-1.00,0,1,0,0,1,10,NT-00007-628
20250106_5,MNQ 03-25,2025-01-06 06:38:00,Short,21678.6978073947,2025-01-06 07:11:00,21693,SL_Short_05,-143.02,9.50,-152.52,-143.02,374.48,Asia High,5,-1.00,0,1,0,0,1,5,NT-00009-628
20250106_6,MNQ 03-25,2025-01-06 07:38:00,Short,21731.25,2025-01-06 07:38:00,21737,SL_Short_06,-149.50,24.70,-174.20,-149.50,0.00,Asia High,6,-1.00,0,1,0,0,1,13,NT-00011-628
20250106_7,MNQ 03-25,2025-01-06 07:56:00,Short,21731.0353057199,2025-01-06 08:47:00,21745.25,SL_Short_07,-142.15,9.50,-151.65,-142.15,195.35,Asia High,7,-1.00,0,1,0,0,1,5,NT-00013-628
20250106_8,MNQ 03-25,2025-01-06 09:29:00,Short,21734.3105691259,2025-01-06 10:31:00,21761.25,SL_Short_08,-161.64,5.70,-167.34,-161.64,558.36,Asia High,8,-1.00,0,1,0,0,1,3,NT-00015-628
20250106_9,MNQ 03-25,2025-01-06 11:01:00,Short,21820.7681241534,2025-01-06 11:15:00,21848.25,SL_Short_01,-164.89,5.70,-170.59,-164.89,241.61,Europe High,1,-1.00,0,1,0,0,0,3,NT-00017-628
20250106_10,MNQ 03-25,2025-01-06 11:37:00,Short,21864,2025-01-06 11:47:00,21887,SL_Short_02,-138.00,5.70,-143.70,-138.00,94.50,Europe High,2,-1.00,0,1,0,0,0,3,NT-00019-628
20250106_11,MNQ 03-25,2025-01-06 11:51:00,Short,21880.25,2025-01-06 12:11:00,21892.5,SL_Short_03,-147.00,11.40,-158.40,-147.00,243.00,Europe High,3,-1.00,0,1,0,0,0,6,NT-00021-628
20250106_12,MNQ 03-25,2025-01-06 12:21:00,Short,21879.4444965115,2025-01-06 14:02:00,21757.25,TP1_Short_04,488.78,3.80,484.98,-102.44,979.56,Europe High,4,3.43,0,1,0,0,0,2,NT-00023-628
20250106_12.2,MNQ 03-25,2025-01-06 12:21:00,Short,21879.4444965115,2025-01-07 11:39:00,21478.75,TP2_Short_04,1602.78,3.80,1598.98,-102.44,1603.78,Europe High,4,11.25,0,1,0,0,0,2,NT-00024-628
20250107_13,MNQ 03-25,2025-01-07 13:51:00,Long,21402.75,2025-01-07 13:52:00,21391.25,SL_Long_02,-161.00,13.30,-174.30,-161.00,154.00,Asia Low,2,-1.00,0,1,0,0,2,7,NT-00026-628
