ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
20250623_1,MNQ 09-25,2025-06-23 03:22:00,Short,21845.924906015,2025-06-23 03:37:00,21872.75,SL_Short_01,-160.95,5.70,-166.65,-160.95,34.05,Asia High,1,-1.00,0,1,0,0,1,3,NT-00001-1825,APlusRetrace,Standard,Dynamic_ATR
20250623_2,MNQ 09-25,2025-06-23 03:45:00,Short,21892.25,2025-06-23 03:53:00,21900.5,SL_Short_02,-148.50,17.10,-165.60,-148.50,166.50,Asia High,2,-1.00,0,1,0,0,1,9,NT-00003-1825,APlusRetrace,Standard,Dynamic_ATR
20250623_3,MNQ 09-25,2025-06-23 04:05:00,Short,21891.75,2025-06-23 04:09:00,21905.25,SL_Short_03,-162.00,11.40,-173.40,-162.00,105.00,Asia High,3,-1.00,0,1,0,0,1,6,NT-00005-1825,APlusRetrace,Standard,Dynamic_ATR
20250623_4,MNQ 09-25,2025-06-23 04:37:00,Short,21915.9788990339,2025-06-23 07:46:00,21778,TP1_Short_04,551.92,3.80,548.12,-109.63,832.37,Asia High,4,3.17,0,1,0,0,1,2,NT-00007-1825,APlusRetrace,Standard,Dynamic_ATR
20250623_4.2,MNQ 09-25,2025-06-23 04:37:00,Short,21915.9788990339,2025-06-23 10:01:00,21925.25,Exit_Short_Market,-18.54,1.90,-20.44,-109.63,832.37,Asia High,4,-0.11,0,1,0,0,1,1,NT-00008-1825,APlusRetrace,Standard,Dynamic_ATR
20250623_5,MNQ 09-25,2025-06-23 10:26:00,Short,21999.8699590583,2025-06-23 10:46:00,22012,SL_Short_01,-145.56,11.40,-156.96,-145.56,358.44,Europe High,1,-1.00,0,1,0,0,0,6,NT-00010-1825,APlusRetrace,Standard,Dynamic_ATR
20250623_6.1,MNQ 09-25,2025-06-23 11:04:00,Short,21979.0270260625,2025-06-23 12:30:00,21861,TP1_Short_02,236.05,1.90,234.15,-106.89,473.11,Europe High,2,1.50,0,1,0,0,0,1,NT-00012-1825,APlusRetrace,Standard,Dynamic_ATR
20250623_6.2,MNQ 09-25,2025-06-23 11:04:00,Short,21979.0270260625,2025-06-27 17:00:00,22740.25,Exit on session close,-1522.45,1.90,-1524.35,-1689.45,481.05,Europe High,2,-9.70,0,1,0,0,0,1,NT-00013-1825,APlusRetrace,Standard,Dynamic_ATR
20250630_1,MNQ 09-25,2025-06-30 05:44:00,Short,22912,2025-06-30 09:32:00,22848.25,TP1_Short_01,1147.50,17.10,1130.40,-8.50,2176.00,Asia High,1,7.94,0,1,0,0,1,9,NT-00001-1837,APlusRetrace,Standard,Dynamic_ATR
20250630_1.2,MNQ 09-25,2025-06-30 05:44:00,Short,22912,2025-06-30 15:53:00,22910.75,Exit_Short_Market,20.00,15.20,4.80,-80.00,2176.00,Asia High,1,0.14,0,1,0,0,1,8,NT-00002-1837,APlusRetrace,Standard,Dynamic_ATR
