ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1.1,MGC 02-25,2025-01-20 12:36:08,Long,2719.3,2025-01-20 14:39:10,2731.7,TP2_Long_01,124.00,2.40,121.60,-12.00,492.00,Asia Low,1,1.03,0,1,0,0,5
1.2,MGC 02-25,2025-01-20 12:36:08,Long,2719.3,2025-01-20 14:39:10,2731.7,TP2_Long_01,124.00,2.40,121.60,-12.00,492.00,Asia Low,1,1.03,0,1,0,0,5
1.3,MGC 02-25,2025-01-20 12:36:08,Long,2719.3,2025-01-20 15:29:07,2731.7,Exit_Long_Market,248.00,4.80,243.20,-12.00,492.00,Asia Low,1,2.07,0,1,0,0,5
2,MGC 02-25,2025-01-20 20:18:30,Short,2735.3,2025-01-20 20:35:13,2733.8,TP1_Short_01,90.00,14.40,75.60,-90.00,225.00,USA High,1,1.29,0,1,0,0,0
2.2,MGC 02-25,2025-01-20 20:18:30,Short,2735.3,2025-01-20 20:35:13,2733.8,TP1_Short_01,30.00,4.80,25.20,-90.00,225.00,USA High,1,0.43,0,1,0,0,0
2.3,MGC 02-25,2025-01-20 20:18:30,Short,2735.3,2025-01-20 21:27:36,2736.4,SL_Short_01,-99.00,21.60,-120.60,-90.00,889.00,USA High,1,-1.41,0,1,0,0,0
2.4,MGC 02-25,2025-01-20 20:18:30,Short,2735.3,2025-01-20 21:27:36,2736.5,SL_Short_01,-72.00,14.40,-86.40,-90.00,889.00,USA High,1,-1.03,0,1,0,0,0
2.5,MGC 02-25,2025-01-20 20:18:30,Short,2735.3,2025-01-20 21:27:36,2736.3,Exit_Long_Market,-40.00,9.60,-49.60,-90.00,889.00,USA High,1,-0.57,0,1,0,0,0
2.6,MGC 02-25,2025-01-20 20:18:30,Short,2735.3,2025-01-20 21:27:36,2736.2,Exit_Long_Market,-36.00,9.60,-45.60,-90.00,889.00,USA High,1,-0.51,0,1,0,0,0
