ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1.1,MYM 03-25,2025-01-06 04:14:06,Short,43056,2025-01-06 04:50:13,43064,SL_Short_01,-4.00,1.80,-5.80,-172.00,903.00,Asia High,1,-1.14,0,1,0,0,1
1.2,MYM 03-25,2025-01-06 04:14:06,Short,43056,2025-01-06 04:50:13,43065,SL_Short_01,-189.00,75.60,-264.60,-172.00,903.00,Asia High,1,-54.00,0,1,0,0,1
2,MYM 03-25,2025-01-06 04:59:09,Short,43060,2025-01-06 05:00:41,43073,Exit_Short_Market,-32.50,9.00,-41.50,-182.00,14.00,Asia High,1,-5.91,0,1,0,0,1
2.2,MYM 03-25,2025-01-06 04:59:09,Short,43060,2025-01-06 05:00:41,43074,Exit_Short_Market,-161.00,41.40,-202.40,-182.00,14.00,Asia High,1,-29.27,0,1,0,0,1
