Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
178,MNQ 03-25,Playback101,,Short,1,21913.50,21920.25,22/1/25 8:59:01 a. m.,22/1/25 9:12:41 a. m.,EntryAnticipado_Short_05,SL_Short_05,$-1540,$1.60950,$190,$000,$000,$000,$000,$1700,$1900,$3440,14,
179,MNQ 03-25,Playback101,,Short,1,21913.50,21920.00,22/1/25 8:59:01 a. m.,22/1/25 9:12:41 a. m.,EntryAnticipado_Short_05,SL_Short_05,$-1490,$1.59460,$190,$000,$000,$000,$000,$1700,$1900,$3390,14,
180,MNQ 03-25,Playback101,,Short,3,21916.50,21924.50,22/1/25 9:22:01 a. m.,22/1/25 9:28:01 a. m.,EntryAnticipado_Short_06,SL_Short_06,$-5370,$1.54090,$570,$000,$000,$000,$000,$4950,$3000,$8370,7,
181,MNQ 03-25,Playback101,,Short,4,21916.75,21924.50,22/1/25 9:22:01 a. m.,22/1/25 9:28:01 a. m.,EntryAnticipado_Short_06,SL_Short_06,$-6960,$1.47130,$760,$000,$000,$000,$000,$6400,$4200,$11160,7,
182,MNQ 03-25,Playback101,,Short,3,21916.75,21924.25,22/1/25 9:22:01 a. m.,22/1/25 9:28:01 a. m.,EntryAnticipado_Short_06,SL_Short_06,$-5070,$1.42060,$570,$000,$000,$000,$000,$4800,$3150,$8220,7,
183,MNQ 03-25,Playback101,,Short,16,21926.25,21930.75,22/1/25 9:35:01 a. m.,22/1/25 9:43:30 a. m.,EntryAnticipado_Short_07,SL_Short_07,$-17440,$1.24620,$3040,$000,$000,$000,$000,$15200,$17600,$35040,9,
184,MNQ 03-25,Playback101,,Short,3,21926.25,21930.50,22/1/25 9:35:01 a. m.,22/1/25 9:43:30 a. m.,EntryAnticipado_Short_07,SL_Short_07,$-3120,$1.21500,$570,$000,$000,$000,$000,$2850,$3300,$6420,9,
185,MNQ 03-25,Playback101,,Short,1,21926.50,21930.50,22/1/25 9:35:01 a. m.,22/1/25 9:43:30 a. m.,EntryAnticipado_Short_07,SL_Short_07,$-990,$1.20510,$190,$000,$000,$000,$000,$900,$1150,$2140,9,
186,MNQ 03-25,Playback101,,Short,11,21927.75,21934.25,22/1/25 9:47:01 a. m.,22/1/25 9:51:47 a. m.,EntryAnticipado_Short_08,SL_Short_08,$-16390,$1.04120,$2090,$000,$000,$000,$000,$14300,$7150,$23540,5,
187,MNQ 03-25,Playback101,,Short,2,21927.75,21934.00,22/1/25 9:47:01 a. m.,22/1/25 9:51:47 a. m.,EntryAnticipado_Short_08,SL_Short_08,$-2880,$1.01240,$380,$000,$000,$000,$000,$2600,$1300,$4180,5,
