ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MNQ 03-26,2025-01-13 04:23:00,Long,21744.75,2025-01-13 04:23:00,21740,SL_Long_01,-104.50,20.02,-124.52,0.00,0.00,Asia Low,1,-1.00,0,1,0,0
2,MNQ 03-26,2025-01-13 04:29:00,Long,21746.25,2025-01-13 04:29:00,21736,SL_Long_02,-82.00,7.28,-89.28,0.00,0.00,Asia Low,2,-1.00,0,1,0,0
3,MNQ 03-26,2025-01-13 04:31:00,Long,21729.75,2025-01-13 04:31:00,21730.25,TP1_Long_03,3.00,5.46,-2.46,0.00,0.00,Asia Low,3,0.03,0,1,0,0
3.2,MNQ 03-26,2025-01-13 04:31:00,Long,21729.75,2025-01-13 04:31:00,21729.75,SL_Long_03,0.00,5.46,-5.46,0.00,0.00,Asia Low,3,0.00,0,1,0,0
4,MNQ 03-26,2025-01-13 04:50:00,Long,21736.8734462259,2025-01-13 04:50:00,21737.25,TP1_Long_04,1.51,3.64,-2.13,0.00,0.00,Asia Low,4,0.01,0,1,0,0
4.2,MNQ 03-26,2025-01-13 04:50:00,Long,21736.8734462259,2025-01-13 04:50:00,21736.8734462259,SL_Long_04,0.00,1.82,-1.82,0.00,0.00,Asia Low,4,0.00,0,1,0,0
5,MNQ 03-26,2025-01-13 05:01:00,Long,21710,2025-01-13 05:01:00,21700.25,SL_Long_05,-97.50,9.10,-106.60,0.00,0.00,Asia Low,5,-1.00,0,1,0,0
6,MNQ 03-26,2025-01-13 05:04:00,Long,21676.25,2025-01-13 05:04:00,21669.75,SL_Long_06,-104.00,14.56,-118.56,0.00,0.00,Asia Low,6,-1.00,0,1,0,0
7.1,MNQ 03-26,2025-01-13 05:06:00,Long,21641.5,2025-01-13 05:06:00,21642,TP1_Long_07,1.00,1.82,-0.82,0.00,0.00,Asia Low,7,0.01,0,1,0,0
7.2,MNQ 03-26,2025-01-13 05:06:00,Long,21641.5,2025-01-13 05:06:00,21641.5,SL_Long_07,0.00,1.82,-1.82,0.00,0.00,Asia Low,7,0.00,0,1,0,0
8,MNQ 03-26,2025-01-13 05:12:00,Long,21635.5,2025-01-13 05:12:00,21636,TP1_Long_08,2.00,3.64,-1.64,0.00,0.00,Asia Low,8,0.02,0,1,0,0
8.2,MNQ 03-26,2025-01-13 05:12:00,Long,21635.5,2025-01-13 05:12:00,21634.25,SL_Long_08,-2.50,1.82,-4.32,0.00,0.00,Asia Low,8,-0.02,0,1,0,0
9.1,MNQ 03-26,2025-01-13 05:25:00,Long,21620.9459544574,2025-01-13 05:26:00,21621.5,TP1_Long_09,1.11,1.82,-0.71,-35.78,0.00,Asia Low,9,0.01,0,1,0,0
9.2,MNQ 03-26,2025-01-13 05:25:00,Long,21620.9459544574,2025-01-13 05:26:00,21620.9459544574,SL_Long_09,0.00,1.82,-1.82,-35.78,0.00,Asia Low,9,0.00,0,1,0,0
10,MNQ 03-26,2025-01-20 04:08:00,Short,22541,2025-01-20 04:08:00,22544.25,SL_Short_01,-97.50,27.30,-124.80,0.00,0.00,Asia High,1,-1.00,0,1,0,0
11,MNQ 03-26,2025-01-20 09:36:00,Short,22558.75,2025-01-20 09:36:00,22558.25,TP1_Short_02,6.00,10.92,-4.92,0.00,0.00,Asia High,2,0.06,0,1,0,0
11.2,MNQ 03-26,2025-01-20 09:36:00,Short,22558.75,2025-01-20 09:36:00,22558.75,SL_Short_02,0.00,10.92,-10.92,0.00,0.00,Asia High,2,0.00,0,1,0,0
