ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1.1,MCL 02-25,2025-01-06 08:25:26,Short,74.4,2025-01-06 08:47:05,74.49,SL_Short_01,-9.00,2.20,-11.20,-144.00,112.00,Asia High,1,-0.20,0,1,0,0,1
1.2,MCL 02-25,2025-01-06 08:25:26,Short,74.4,2025-01-06 08:47:05,74.5,SL_Short_01,-150.00,33.00,-183.00,-144.00,112.00,Asia High,1,-3.33,0,1,0,0,1
2,MCL 02-25,2025-01-06 09:05:13,Short,74.53,2025-01-06 09:51:20,74.14,TP1_Short_02,234.00,13.20,220.80,-22.00,429.00,Asia High,2,18.00,0,1,0,0,1
2.2,MCL 02-25,2025-01-06 09:05:13,Short,74.53,2025-01-06 10:07:02,74.53,SL_Short_02,0.00,11.00,-11.00,-22.00,429.00,Asia High,2,0.00,0,1,0,0,1
3,MCL 02-25,2025-01-06 10:22:30,Short,74.49,2025-01-06 10:43:03,74.7,SL_Short_03,-147.00,15.40,-162.40,-147.00,105.00,Asia High,3,-7.00,0,1,0,0,1
4,MCL 02-25,2025-01-06 10:55:50,Short,74.86,2025-01-06 11:00:34,74.94,SL_Short_01,-16.00,4.40,-20.40,-144.00,36.00,Europe High,1,-2.00,0,1,0,0,0
4.2,MCL 02-25,2025-01-06 10:55:50,Short,74.86,2025-01-06 11:00:34,74.95,SL_Short_01,-144.00,35.20,-179.20,-144.00,36.00,Europe High,1,-18.00,0,1,0,0,0
5,MCL 02-25,2025-01-06 11:29:11,Short,74.79,2025-01-06 11:46:14,74.36,TP1_Short_02,172.00,8.80,163.20,-7.00,301.00,Europe High,2,2.87,0,1,0,0,0
5.2,MCL 02-25,2025-01-06 11:29:11,Short,74.79,2025-01-06 14:01:46,73.53,TP2_Short_02,378.00,6.60,371.40,-7.00,378.00,Europe High,2,6.30,0,1,0,0,0
6,MCL 02-25,2025-01-06 14:27:02,Long,73.33,2025-01-06 14:32:46,73.26,SL_Long_01,-147.00,46.20,-193.20,-147.00,105.00,USA Low,1,-21.00,0,1,0,0,3
7,MCL 02-25,2025-01-06 14:45:53,Long,73.24,2025-01-06 21:36:39,73.18,SL_Long_02,-36.00,13.20,-49.20,-138.00,1058.00,USA Low,2,-2.00,0,1,0,0,3
7.2,MCL 02-25,2025-01-06 14:45:53,Long,73.24,2025-01-06 21:36:39,73.17,SL_Long_02,-119.00,37.40,-156.40,-138.00,1058.00,USA Low,2,-6.61,0,1,0,0,3
8.1,MCL 02-25,2025-01-06 21:41:32,Long,73.19,2025-01-06 21:53:29,73.31,TP1_Long_01,12.00,2.20,9.80,-44.00,572.00,USA Low,1,0.44,0,1,0,0,0
8.2,MCL 02-25,2025-01-06 21:41:32,Long,73.19,2025-01-06 21:53:29,73.31,TP1_Long_01,12.00,2.20,9.80,-44.00,572.00,USA Low,1,0.44,0,1,0,0,0
8.3,MCL 02-25,2025-01-06 21:41:32,Long,73.19,2025-01-06 21:53:29,73.31,TP1_Long_01,12.00,2.20,9.80,-44.00,572.00,USA Low,1,0.44,0,1,0,0,0
8.4,MCL 02-25,2025-01-06 21:41:32,Long,73.19,2025-01-06 21:53:29,73.31,TP1_Long_01,48.00,8.80,39.20,-44.00,572.00,USA Low,1,1.78,0,1,0,0,0
8.5,MCL 02-25,2025-01-06 21:41:32,Long,73.19,2025-01-06 21:53:29,73.31,TP1_Long_01,12.00,2.20,9.80,-44.00,572.00,USA Low,1,0.44,0,1,0,0,0
8.6,MCL 02-25,2025-01-06 21:41:32,Long,73.19,2025-01-06 21:53:29,73.31,TP1_Long_01,24.00,4.40,19.60,-44.00,572.00,USA Low,1,0.89,0,1,0,0,0
