ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1.1,MYM 03-25,2025-01-06 04:14:06,Short,43056,2025-01-06 04:50:13,43064,SL_Short_01,-4.00,1.80,-5.80,-172.00,903.00,Asia High,1,-1.14,0,1,0,0,1,1
1.2,MYM 03-25,2025-01-06 04:14:06,Short,43056,2025-01-06 04:50:13,43065,SL_Short_01,-189.00,75.60,-264.60,-172.00,903.00,Asia High,1,-54.00,0,1,0,0,1,42
2,MYM 03-25,2025-01-06 04:59:09,Short,43060,2025-01-06 05:00:41,43073,Exit_Short_Market,-32.50,9.00,-41.50,-182.00,14.00,Asia High,1,-5.91,0,1,0,0,1,5
2.2,MYM 03-25,2025-01-06 04:59:09,Short,43060,2025-01-06 05:00:41,43074,Exit_Short_Market,-161.00,41.40,-202.40,-182.00,14.00,Asia High,1,-29.27,0,1,0,0,1,23
3,MYM 03-25,2025-01-06 05:22:29,Short,43072,2025-01-06 06:46:52,43037,TP1_Short_01,87.50,9.00,78.50,-110.00,192.50,USA High,1,1.30,0,1,0,0,3,5
3.2,MYM 03-25,2025-01-06 05:22:29,Short,43072,2025-01-06 06:46:52,43037,TP1_Short_01,17.50,1.80,15.70,-110.00,192.50,USA High,1,0.26,0,1,0,0,3,1
3.3,MYM 03-25,2025-01-06 05:22:29,Short,43072,2025-01-06 07:24:49,43100,SL_Short_01,-70.00,9.00,-79.00,-110.00,222.50,USA High,1,-1.04,0,1,0,0,3,5
4,MYM 03-25,2025-01-06 07:37:23,Short,43151,2025-01-06 07:38:35,43171,SL_Short_02,-50.00,9.00,-59.00,-140.00,0.00,USA High,1,-5.00,0,1,0,0,3,5
4.2,MYM 03-25,2025-01-06 07:37:23,Short,43151,2025-01-06 07:38:35,43172,SL_Short_02,-94.50,16.20,-110.70,-140.00,0.00,USA High,1,-9.45,0,1,0,0,3,9
5,MYM 03-25,2025-01-06 07:42:31,Short,43161,2025-01-06 07:55:05,43172,SL_Short_03,-16.50,5.40,-21.90,-136.00,332.00,USA High,1,-3.00,0,1,0,0,3,3
5.2,MYM 03-25,2025-01-06 07:42:31,Short,43161,2025-01-06 07:55:05,43173,SL_Short_03,-138.00,41.40,-179.40,-136.00,332.00,USA High,1,-25.09,0,1,0,0,3,23
6,MYM 03-25,2025-01-06 07:59:44,Short,43171,2025-01-06 08:00:01,43182,SL_Short_04,-16.50,5.40,-21.90,-227.00,0.00,USA High,1,-5.50,0,1,0,0,3,3
6.2,MYM 03-25,2025-01-06 07:59:44,Short,43171,2025-01-06 08:00:01,43183,SL_Short_04,-240.00,72.00,-312.00,-227.00,0.00,USA High,1,-80.00,0,1,0,0,3,40
7.1,MYM 03-25,2025-01-06 08:15:41,Short,43164,2025-01-06 08:46:37,43198,SL_Short_05,-17.00,1.80,-18.80,-153.00,94.50,USA High,1,-1.03,0,1,0,0,3,1
7.2,MYM 03-25,2025-01-06 08:15:41,Short,43164,2025-01-06 08:46:37,43199,SL_Short_05,-140.00,14.40,-154.40,-153.00,94.50,USA High,1,-8.48,0,1,0,0,3,8
8,MYM 03-25,2025-01-06 09:04:01,Short,43192,2025-01-06 09:45:02,43216,SL_Short_06,-48.00,7.20,-55.20,-144.00,108.00,USA High,1,-4.00,0,1,0,0,3,4
8.2,MYM 03-25,2025-01-06 09:04:01,Short,43192,2025-01-06 09:45:02,43217,SL_Short_06,-100.00,14.40,-114.40,-144.00,108.00,USA High,1,-8.33,0,1,0,0,3,8
9,MYM 03-25,2025-01-06 11:30:44,Short,43289,2025-01-06 12:28:08,43347,SL_Short_01,-145.00,9.00,-154.00,-145.00,232.50,Europe High,1,-1.67,0,1,0,0,0,5
10,MYM 03-25,2025-01-06 12:49:09,Short,43376,2025-01-06 12:59:07,43404,SL_Short_01,-154.00,19.80,-173.80,-154.00,44.00,Asia High,1,-11.00,0,1,0,0,8,11
11,MYM 03-25,2025-01-06 13:09:16,Short,43367,2025-01-06 13:55:41,43211,TP1_Short_02,312.00,7.20,304.80,-17.50,546.00,Asia High,1,14.86,0,1,0,0,8,4
11.2,MYM 03-25,2025-01-06 13:09:16,Short,43367,2025-01-06 16:08:08,42951,TP2_Short_02,624.00,5.40,618.60,-17.50,624.00,Asia High,1,29.71,0,1,0,0,8,3
12,MYM 03-25,2025-01-06 16:26:21,Long,42962,2025-01-06 16:47:39,42910,SL_Long_01,-156.00,10.80,-166.80,-156.00,111.00,Asia Low,1,-6.00,0,1,0,0,1,6
13,MYM 03-25,2025-01-06 16:54:19,Long,42930,2025-01-07 08:35:11,43063,TP1_Long_02,133.00,3.60,129.40,-49.00,469.00,Asia Low,1,6.05,0,1,0,0,1,2
13.2,MYM 03-25,2025-01-06 16:54:19,Long,42930,2025-01-07 08:35:11,43063,TP1_Long_02,66.50,1.80,64.70,-49.00,469.00,Asia Low,1,3.02,0,1,0,0,1,1
13.3,MYM 03-25,2025-01-06 16:54:19,Long,42930,2025-01-07 08:35:11,43063,TP1_Long_02,66.50,1.80,64.70,-49.00,469.00,Asia Low,1,3.02,0,1,0,0,1,1
13.4,MYM 03-25,2025-01-06 16:54:19,Long,42930,2025-01-07 11:17:35,42886,SL_Long_02,-66.00,5.40,-71.40,-66.00,469.00,Asia Low,1,-3.00,0,1,0,0,1,3
14.1,MYM 03-25,2025-01-07 16:43:00,Long,42728,2025-01-08 06:50:19,42938,TP1_Long_01,105.00,1.80,103.20,-66.00,422.00,Asia Low,1,2.69,0,1,0,0,5,1
14.2,MYM 03-25,2025-01-07 16:43:00,Long,42728,2025-01-08 06:50:19,42938,TP1_Long_01,105.00,1.80,103.20,-66.00,422.00,Asia Low,1,2.69,0,1,0,0,5,1
14.3,MYM 03-25,2025-01-07 16:43:00,Long,42728,2025-01-08 10:44:21,42650,SL_Long_01,-78.00,3.60,-81.60,-78.00,422.00,Asia Low,1,-2.00,0,1,0,0,5,2
15.1,MYM 03-25,2025-01-08 15:30:05,Long,42886,2025-01-08 15:30:05,42886,TP1_Long_01,0.00,1.80,-1.80,0.00,0.00,USA Low,1,0.00,0,1,0,0,1,1
15.2,MYM 03-25,2025-01-08 15:30:05,Long,42886,2025-01-09 10:29:07,42812,Exit_Long_Market,-37.00,1.80,-38.80,-81.50,16.50,USA Low,1,-0.13,0,1,0,0,1,1
16,MYM 03-25,2025-01-09 19:45:10,Long,42724,2025-01-09 20:16:14,42700,SL_Long_01,-132.00,19.80,-151.80,-144.00,126.00,Europe Low,1,-5.50,0,1,0,0,0,11
16.2,MYM 03-25,2025-01-09 19:45:10,Long,42724,2025-01-09 20:16:14,42699,SL_Long_01,-12.50,1.80,-14.30,-144.00,126.00,Europe Low,1,-0.52,0,1,0,0,0,1
17,MYM 03-25,2025-01-09 20:33:38,Long,42700,2025-01-09 21:15:30,42734,TP1_Long_02,85.00,9.00,76.00,-90.00,255.00,Europe Low,1,8.50,0,1,0,0,0,5
17.2,MYM 03-25,2025-01-09 20:33:38,Long,42700,2025-01-09 21:17:43,42734,TP1_Long_02,17.00,1.80,15.20,-90.00,255.00,Europe Low,1,1.70,0,1,0,0,0,1
17.3,MYM 03-25,2025-01-09 20:33:38,Long,42700,2025-01-09 21:17:43,42734,TP1_Long_02,34.00,3.60,30.40,-90.00,255.00,Europe Low,1,3.40,0,1,0,0,0,2
17.4,MYM 03-25,2025-01-09 20:33:38,Long,42700,2025-01-10 07:13:05,42905,TP2_Long_02,205.00,3.60,201.40,-90.00,721.00,Europe Low,1,20.50,0,1,0,0,0,2
17.5,MYM 03-25,2025-01-09 20:33:38,Long,42700,2025-01-10 07:13:05,42905,TP2_Long_02,102.50,1.80,100.70,-90.00,721.00,Europe Low,1,10.25,0,1,0,0,0,1
17.6,MYM 03-25,2025-01-09 20:33:38,Long,42700,2025-01-10 07:13:05,42905,TP2_Long_02,410.00,7.20,402.80,-90.00,721.00,Europe Low,1,41.00,0,1,0,0,0,4
18.1,MYM 03-25,2025-01-10 07:23:40,Short,42885,2025-01-10 08:05:29,42810,TP1_Short_01,37.50,1.80,35.70,-35.00,518.00,Europe High,1,1.14,0,1,0,0,1,1
18.2,MYM 03-25,2025-01-10 07:23:40,Short,42885,2025-01-10 08:05:29,42810,TP1_Short_01,75.00,3.60,71.40,-35.00,518.00,Europe High,1,2.27,0,1,0,0,1,2
18.3,MYM 03-25,2025-01-10 07:23:40,Short,42885,2025-01-10 08:05:29,42810,TP1_Short_01,37.50,1.80,35.70,-35.00,518.00,Europe High,1,1.14,0,1,0,0,1,1
18.4,MYM 03-25,2025-01-10 07:23:40,Short,42885,2025-01-10 08:05:29,42810,TP1_Short_01,112.50,5.40,107.10,-35.00,518.00,Europe High,1,3.41,0,1,0,0,1,3
18.5,MYM 03-25,2025-01-10 07:23:40,Short,42885,2025-01-10 09:30:03,42681,TP2_Short_01,102.00,1.80,100.20,-35.00,717.50,Europe High,1,3.09,0,1,0,0,1,1
18.6,MYM 03-25,2025-01-10 07:23:40,Short,42885,2025-01-10 09:30:03,42681,TP2_Short_01,306.00,5.40,300.60,-35.00,717.50,Europe High,1,9.27,0,1,0,0,1,3
