ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
20250506_9,MNQ 06-25,2025-05-06 03:49:38,Long,19909.75,2025-05-06 03:55:05,19895.75,SL_Long_01,-140.00,9.50,-149.50,-140.00,85.00,Asia Low,1,-5.00,0,1,0,0,1,5,b173eade2d7c4e078b925d8b30a480d9
20250506_10,MNQ 06-25,2025-05-06 03:59:11,Long,19910.25,2025-05-06 04:00:14,19893,SL_Long_02,-69.00,3.80,-72.80,-138.00,0.00,Asia Low,3,-0.50,0,1,0,0,1,2,2c2b6bb199f141dfa5851c6aa628c7a0
20250506_10.2,MNQ 06-25,2025-05-06 03:59:11,Long,19910.25,2025-05-06 04:00:14,19892.75,SL_Long_02,-70.00,3.80,-73.80,-138.00,0.00,Asia Low,3,-0.51,0,1,0,0,1,2,4696e047e390419eabedf3a3359b1430
20250506_11,MNQ 06-25,2025-05-06 04:07:23,Long,19890.5,2025-05-06 04:12:11,19874.25,SL_Long_03,-65.00,3.80,-68.80,-162.50,137.50,Asia Low,4,-2.00,0,1,0,0,1,2,eee659052b5149089e95d637c57137a2
20250506_11.2,MNQ 06-25,2025-05-06 04:07:23,Long,19890.5,2025-05-06 04:12:11,19874,SL_Long_03,-99.00,5.70,-104.70,-162.50,137.50,Asia Low,4,-3.05,0,1,0,0,1,3,70a9e1b100d449d2938cada415105571
20250507_12,MNQ 06-25,2025-05-07 11:12:22,Long,19822,2025-05-07 11:13:19,19800.25,SL_Long_01,-130.50,5.70,-136.20,-130.50,9.00,Asia Low,1,-1.00,0,1,0,0,1,3,a91bed7b5a5147e8aceeb87efaf9f05f
20250507_13,MNQ 06-25,2025-05-07 11:17:09,Long,19805,2025-05-07 11:50:40,19788.25,SL_Long_02,-134.00,7.60,-141.60,-134.00,408.00,Asia Low,6,-4.00,0,1,0,0,1,4,87cfac7cd8c74758af39aa6593edb225
20250507_14.1,MNQ 06-25,2025-05-07 12:06:33,Long,19834.75,2025-05-07 13:13:48,19922.25,TP1_Long_03,175.00,1.90,173.10,-115.00,351.00,Asia Low,7,0.87,0,1,0,0,1,1,758624d7a9944bde8032a906a65435d6
20250507_14.2,MNQ 06-25,2025-05-07 12:06:33,Long,19834.75,2025-05-07 14:06:07,19784.5,SL_Long_03,-100.50,1.90,-102.40,-115.00,351.00,Asia Low,7,-0.50,0,1,0,0,1,1,97598e82fb264848ab94c0b7676ea87b
20250507_15.1,MNQ 06-25,2025-05-07 21:15:02,Short,20089.25,2025-05-07 21:20:14,20100,SL_Short_01,-21.50,1.90,-23.40,-150.50,91.00,USA High,1,-0.50,0,1,0,0,0,1,1c65ed4499e64129a5a849b49872a2e2
