ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MGC 02-25,2025-01-06 00:16:49,Long,2649.4,2025-01-06 00:22:35,2648,SL_Long_01,-28.00,4.80,-32.80,-154.00,66.00,USA Low,1,-2.00,0,1,0,0,3,2
1.2,MGC 02-25,2025-01-06 00:16:49,Long,2649.4,2025-01-06 00:22:35,2647.9,SL_Long_01,-135.00,21.60,-156.60,-154.00,66.00,USA Low,1,-9.64,0,1,0,0,3,9
2,MGC 02-25,2025-01-06 00:29:12,Long,2648.9,2025-01-06 00:52:50,2646.6,SL_Long_02,-69.00,7.20,-76.20,-161.00,140.00,USA Low,1,-3.00,0,1,0,0,3,3
2.2,MGC 02-25,2025-01-06 00:29:12,Long,2648.9,2025-01-06 00:52:50,2646.5,SL_Long_02,-96.00,9.60,-105.60,-161.00,140.00,USA Low,1,-4.17,0,1,0,0,3,4
3,MGC 02-25,2025-01-06 03:09:44,Long,2645.4,2025-01-06 03:32:02,2641.2,SL_Long_01,-84.00,4.80,-88.80,-168.00,16.00,Europe Low,1,-0.50,0,1,0,0,4,2
3.2,MGC 02-25,2025-01-06 03:09:44,Long,2645.4,2025-01-06 03:32:02,2641.1,SL_Long_01,-86.00,4.80,-90.80,-168.00,16.00,Europe Low,1,-0.51,0,1,0,0,4,2
4,MGC 02-25,2025-01-06 07:38:14,Short,2660.7,2025-01-06 07:43:59,2663.1,SL_Short_01,-144.00,14.40,-158.40,-144.00,126.00,Asia High,1,-1.00,0,1,0,0,1,6
5,MGC 02-25,2025-01-06 08:04:03,Short,2660.4,2025-01-06 09:33:19,2652,TP1_Short_02,168.00,4.80,163.20,-52.00,336.00,Asia High,1,1.17,0,1,0,0,1,2
5.2,MGC 02-25,2025-01-06 08:04:03,Short,2660.4,2025-01-06 09:40:53,2636.5,TP2_Short_02,478.00,4.80,473.20,-52.00,478.00,Asia High,1,3.32,0,1,0,0,1,2
6.1,MGC 02-25,2025-01-06 09:56:24,Long,2635.4,2025-01-06 10:16:37,2630.8,SL_Long_01,-46.00,2.40,-48.40,-138.00,171.00,Asia Low,1,-0.33,0,1,0,0,1,1
6.2,MGC 02-25,2025-01-06 09:56:24,Long,2635.4,2025-01-06 10:16:37,2630.7,SL_Long_01,-94.00,4.80,-98.80,-138.00,171.00,Asia Low,1,-0.68,0,1,0,0,1,2
7,MGC 02-25,2025-01-07 07:25:25,Short,2655.7,2025-01-07 07:45:18,2658.5,SL_Short_01,-140.00,12.00,-152.00,-140.00,0.00,Asia High,1,-1.00,0,1,0,0,1,5
