ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
20260116_1.1,MYM 03-26,2026-01-16 08:22:09,Long,49644,2026-01-16 08:23:51,49629,SL_Long_01,-7.50,1.80,-9.30,-21.00,0.00,Asia Low,1,-0.33,-232,-1,-232,0,1,1,363062133391_1
20260116_1.2,MYM 03-26,2026-01-16 08:22:09,Long,49644,2026-01-16 08:23:51,49629,SL_Long_01,-15.00,3.60,-18.60,-21.00,0.00,Asia Low,1,-0.67,-232,-1,-232,0,1,2,363062133391_2
20260116_2.1,MYM 03-26,2026-01-16 08:32:32,Long,49627,2026-01-16 08:55:37,49614,SL_Long_02,-6.50,1.80,-8.30,-20.00,66.00,Asia Low,1,-1.00,-257,-1,-257,0,1,1,363062133439_1
20260116_2.2,MYM 03-26,2026-01-16 08:32:32,Long,49627,2026-01-16 08:55:39,49614,SL_Long_02,-13.00,3.60,-16.60,-20.00,66.00,Asia Low,1,-2.00,-257,-1,-257,0,1,2,363062133439_2
20260116_2.3,MYM 03-26,2026-01-16 08:32:32,Long,49627,2026-01-16 08:55:41,49614,SL_Long_02,-6.50,1.80,-8.30,-20.00,66.00,Asia Low,1,-1.00,-257,-1,-257,0,1,1,363062133439_3
20260116_3.1,MYM 03-26,2026-01-16 09:00:12,Long,49616,2026-01-16 09:01:22,49605,SL_Long_03,-5.50,1.80,-7.30,-35.00,0.00,Asia Low,2,-0.14,-361,-1,-361,0,1,1,363062133531_1
20260116_3.2,MYM 03-26,2026-01-16 09:00:12,Long,49616,2026-01-16 09:01:22,49605,SL_Long_03,-5.50,1.80,-7.30,-35.00,0.00,Asia Low,2,-0.14,-361,-1,-361,0,1,1,363062133531_2
20260116_3.3,MYM 03-26,2026-01-16 09:00:12,Long,49616,2026-01-16 09:01:23,49605,SL_Long_03,-11.00,3.60,-14.60,-35.00,0.00,Asia Low,2,-0.29,-361,-1,-361,0,1,2,363062133531_3
20260116_3.4,MYM 03-26,2026-01-16 09:00:12,Long,49616,2026-01-16 09:01:26,49605,SL_Long_03,-11.00,3.60,-14.60,-35.00,0.00,Asia Low,2,-0.29,-361,-1,-361,0,1,2,363062133531_4
20260116_3.5,MYM 03-26,2026-01-16 09:00:12,Long,49616,2026-01-16 09:01:29,49605,SL_Long_03,-5.50,1.80,-7.30,-35.00,0.00,Asia Low,2,-0.14,-361,-1,-361,0,1,1,363062133531_5
20260116_4,MYM 03-26,2026-01-16 09:07:53,Long,49611,2026-01-16 10:27:11,49672,TP1_Long_04,152.50,9.00,143.50,-10.00,295.00,Asia Low,3,13.86,-364,-1,-364,-432,1,5,363062133593_1
20260116_4.2,MYM 03-26,2026-01-16 09:07:53,Long,49611,2026-01-16 10:31:29,49750,TP2_Long_04,347.50,9.00,338.50,-10.00,347.50,Asia Low,3,31.59,-364,-1,-364,-432,1,5,363062133597_1
20260116_5,MYM 03-26,2026-01-16 10:48:15,Long,49619,2026-01-16 10:51:13,49579,SL_Long_01,-80.00,7.20,-87.20,-76.00,24.00,Europe Low,1,-1.00,192,1,192,0,0,4,363062134329_1
20260116_6,MYM 03-26,2026-01-16 11:54:41,Long,49497,2026-01-16 12:06:14,49581,TP1_Long_03,84.00,3.60,80.40,-2.00,162.00,Europe Low,2,0.56,-485,-1,-485,-241,0,2,363062135694_1
