ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
20260116_1,MNQ 03-26,2026-01-16 04:07:44,Short,25840.75,2026-01-16 06:30:58,25846.75,SL_Short_01,-24.00,3.80,-27.80,-25.50,273.00,Asia High,1,-1.20,2191,-1,2191,0,1,2,363062132717_1
20260116_1.2,MNQ 03-26,2026-01-16 04:07:44,Short,25840.75,2026-01-16 06:30:59,25845,Exit_Short_Market,-8.50,1.90,-10.40,-25.50,273.00,Asia High,1,-0.43,2191,-1,2191,0,1,1,363062133269_1
20260116_2,MNQ 03-26,2026-01-16 11:29:13,Long,25680.25,2026-01-16 11:29:20,25673,SL_Long_01,-116.00,15.20,-131.20,0.00,180.00,Europe Low,1,-1.00,-8813,-1,-8813,0,1,8,363062134743_1
20260116_3,MNQ 03-26,2026-01-16 11:46:29,Long,25606.5,2026-01-16 12:30:05,25721.5,TP1_Long_02,690.00,5.70,684.30,-62.50,990.00,Europe Low,1,4.18,-13949,-1,-13949,-8684,1,3,363062135102_1
20260126_1,MNQ 03-26,2026-01-26 04:12:00,Short,25708,2026-01-26 04:23:11,25721.25,SL_Short_01,-53.00,0.00,-53.00,-48.00,25.00,Asia High,1,-1.00,1582,-1,1582,0,1,2,363062136605_1,Anticipado,Standard,Dynamic_ATR,1527,1697,-115,15,0,0,25,-10
20260126_2.1,MNQ 03-26,2026-01-26 04:31:00,Short,25729,2026-01-26 05:44:55,25616.5,TP1_Short_02,225.00,0.00,225.00,-25.00,224.00,Asia High,2,8.33,2317,-1,2317,-123,1,1,363062136674_1,Anticipado,Standard,Dynamic_ATR,1527,1697,620,0,0,0,0,-20
