ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
20260116_1,MBT 01-26,2026-01-16 04:43:17,Short,95965,2026-01-16 05:16:36,95805,TP1_Short_01,32.00,6.40,25.60,-16.50,46.50,Asia High,1,1.02,-4376,1,-4376,-4356,1,2,363062132914_1
20260116_1.2,MBT 01-26,2026-01-16 04:43:17,Short,95965,2026-01-16 11:00:01,95270,TP2_Short_01,69.50,3.20,66.30,-16.50,68.50,Asia High,1,2.21,-4376,1,-4376,-4356,1,1,363062132916_1
20260116_2.1,MBT 01-26,2026-01-16 11:02:29,Long,95160,2026-01-16 11:06:56,95565,TP1_Long_01,40.50,3.20,37.30,-2.00,79.00,USA Low,1,13.50,-3888,-1,-3888,-3799,1,1,363062134407_1
20260116_2.2,MBT 01-26,2026-01-16 11:02:29,Long,95160,2026-01-16 11:19:52,95145,SL_Long_01,-1.50,3.20,-4.70,-2.50,79.00,USA Low,1,-0.50,-3888,-1,-3888,-3799,1,1,363062134404_1
20260116_3,MBT 01-26,2026-01-16 11:40:21,Long,94700,2026-01-16 11:47:07,94430,SL_Long_01,-162.00,19.20,-181.20,-153.00,6.00,Asia Low,1,-1.04,-3423,-1,-3423,0,3,6,363062134814_1
20260116_4,MBT 01-26,2026-01-16 12:04:12,Long,94595,2026-01-16 13:59:12,95150,TP1_Long_02,166.50,9.60,156.90,-17.50,275.00,Asia Low,1,1.39,-2941,-1,-2941,-3434,3,3,363062135949_1
