[06:25:07.354] [SYSTEM] Bar:-1 Time:N/A | === RelativeVwap Debug Log Started ===
[06:25:07.354] [SYSTEM] Bar:-1 Time:N/A | Version: 1.0.47
[06:25:07.355] [SYSTEM] Bar:-1 Time:N/A | Instrument: NQ 03-26
[06:25:07.565] [ANCHOR] Bar:420 Time:02:01:00 | NEW HIGH ANCHOR | Price:25677.33 | High:25679.25 | VWAP:25677.33 | PrevAnchor:419 | TrackerReset:-1
[06:25:07.566] [ANCHOR] Bar:421 Time:02:02:00 | NEW HIGH ANCHOR | Price:25683.50 | High:25688.00 | VWAP:25683.50 | PrevAnchor:420 | TrackerReset:-1
[06:25:07.566] [ANCHOR] Bar:422 Time:02:03:00 | NEW HIGH ANCHOR | Price:25684.17 | High:25689.00 | VWAP:25684.17 | PrevAnchor:421 | TrackerReset:-1
[06:25:07.568] [ANCHOR] Bar:435 Time:02:16:00 | NEW HIGH ANCHOR | Price:25686.00 | High:25689.50 | VWAP:25686.00 | PrevAnchor:434 | TrackerReset:-1
[06:25:07.569] [ANCHOR] Bar:436 Time:02:17:00 | NEW HIGH ANCHOR | Price:25690.58 | High:25695.25 | VWAP:25690.58 | PrevAnchor:435 | TrackerReset:-1
[06:25:07.569] [ANCHOR] Bar:437 Time:02:18:00 | NEW HIGH ANCHOR | Price:25694.17 | High:25695.50 | VWAP:25694.17 | PrevAnchor:436 | TrackerReset:-1
[06:25:07.570] [ANCHOR] Bar:438 Time:02:19:00 | NEW HIGH ANCHOR | Price:25695.42 | High:25697.25 | VWAP:25695.42 | PrevAnchor:437 | TrackerReset:-1
[06:25:07.570] [ANCHOR] Bar:439 Time:02:20:00 | NEW HIGH ANCHOR | Price:25695.42 | High:25698.00 | VWAP:25695.42 | PrevAnchor:438 | TrackerReset:-1
[06:25:07.570] [ANCHOR] Bar:444 Time:02:25:00 | NEW HIGH ANCHOR | Price:25697.17 | High:25698.50 | VWAP:25697.17 | PrevAnchor:443 | TrackerReset:-1
[06:25:07.571] [ANCHOR] Bar:447 Time:02:28:00 | NEW HIGH ANCHOR | Price:25699.75 | High:25702.00 | VWAP:25699.75 | PrevAnchor:446 | TrackerReset:-1
[06:25:07.586] [ANCHOR] Bar:534 Time:03:55:00 | NEW HIGH ANCHOR | Price:25701.92 | High:25706.00 | VWAP:25701.92 | PrevAnchor:533 | TrackerReset:-1
[06:25:07.587] [ANCHOR] Bar:536 Time:03:57:00 | NEW HIGH ANCHOR | Price:25704.58 | High:25706.25 | VWAP:25704.58 | PrevAnchor:535 | TrackerReset:-1
[06:25:07.588] [ANCHOR] Bar:537 Time:03:58:00 | NEW HIGH ANCHOR | Price:25708.42 | High:25711.00 | VWAP:25708.42 | PrevAnchor:536 | TrackerReset:-1
[06:25:07.633] [ANCHOR] Bar:545 Time:04:06:00 | NEW HIGH ANCHOR | Price:25711.25 | High:25713.50 | VWAP:25711.25 | PrevAnchor:544 | TrackerReset:-1
