MES 03-26|5.00|639033365543727592
M2K 03-26|5.00|639033365280367526
MNQ 03-26|18.61|639033902240043282
MYM 03-26|5.00|639033365528707901
MGC 02-26|38.60|639033365567325678
MCL 02-26|5.20|639033365524840901
MBT 12-25|23.48|639025883243387523
MBT 01-26|11.62|639033365087641973
M6E 03-26|5.00|639025886605366154
6E 03-26|20.26|639033365513925539
ZW 03-26|9.14|639033364075293722
ZS 03-26|25.02|639033365402766288
MHG 03-26|24.00|639033365488341938
SIL 03-26|100.00|639026190383516424
MCL 01-26|5.66|639028690075483594
MNQ 03-25|26.20|639032493290062654
NQ 03-26|93.89|639033191998297179
6A 03-26|16.71|639033365500283037
6B 03-26|11.73|639033365355083453
6J 03-26|12.14|639033365207041877
6C 03-26|8.73|639033365466121471
6N 03-26|14.00|639033365505047448
PL 04-26|100.00|639033365551813301
NG 02-26|40.74|639033365574642094
