[10:12:31.528] [SYSTEM] Bar:-1 Time:N/A | === RelativeVwap Debug Log Started ===
[10:12:31.529] [SYSTEM] Bar:-1 Time:N/A | Version: 1.0.30
[10:12:31.529] [SYSTEM] Bar:-1 Time:N/A | Instrument: MNQ 03-26
[10:12:31.669] [SIGNAL2] Bar:736 Time:07:17:00 | SIG2 LONG FIRED | Low:25621.50 | VWAP:25586.09 | Sep:35.41 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.670] [SIGNAL2] Bar:737 Time:07:18:00 | SIG2 LONG FIRED | Low:25621.75 | VWAP:25586.42 | Sep:35.33 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.670] [SIGNAL2] Bar:738 Time:07:19:00 | SIG2 LONG FIRED | Low:25619.50 | VWAP:25586.75 | Sep:32.75 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.671] [SIGNAL2] Bar:739 Time:07:20:00 | SIG2 LONG FIRED | Low:25621.25 | VWAP:25587.00 | Sep:34.25 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.673] [SIGNAL2] Bar:740 Time:07:21:00 | SIG2 LONG FIRED | Low:25625.25 | VWAP:25587.24 | Sep:38.01 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.674] [SIGNAL2] Bar:741 Time:07:22:00 | SIG2 LONG FIRED | Low:25626.00 | VWAP:25587.42 | Sep:38.58 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.675] [SIGNAL2] Bar:742 Time:07:23:00 | SIG2 LONG FIRED | Low:25623.25 | VWAP:25587.65 | Sep:35.60 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.677] [SIGNAL2] Bar:743 Time:07:24:00 | SIG2 LONG FIRED | Low:25619.75 | VWAP:25587.87 | Sep:31.88 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.679] [SIGNAL2] Bar:744 Time:07:25:00 | SIG2 LONG FIRED | Low:25620.25 | VWAP:25588.15 | Sep:32.10 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.690] [SIGNAL2] Bar:745 Time:07:26:00 | SIG2 LONG FIRED | Low:25621.25 | VWAP:25588.41 | Sep:32.84 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.693] [SIGNAL2] Bar:746 Time:07:27:00 | SIG2 LONG FIRED | Low:25627.50 | VWAP:25588.73 | Sep:38.77 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.695] [SIGNAL2] Bar:747 Time:07:28:00 | SIG2 LONG FIRED | Low:25629.75 | VWAP:25589.23 | Sep:40.52 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.695] [SIGNAL2] Bar:748 Time:07:29:00 | SIG2 LONG FIRED | Low:25635.25 | VWAP:25590.00 | Sep:45.25 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.696] [SIGNAL2] Bar:749 Time:07:30:00 | SIG2 LONG FIRED | Low:25640.75 | VWAP:25590.39 | Sep:50.36 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.698] [SIGNAL2] Bar:750 Time:07:31:00 | SIG2 LONG FIRED | Low:25636.50 | VWAP:25591.01 | Sep:45.49 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.699] [SIGNAL2] Bar:751 Time:07:32:00 | SIG2 LONG FIRED | Low:25643.00 | VWAP:25591.96 | Sep:51.04 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.700] [SIGNAL2] Bar:752 Time:07:33:00 | SIG2 LONG FIRED | Low:25647.00 | VWAP:25592.75 | Sep:54.25 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.701] [SIGNAL2] Bar:753 Time:07:34:00 | SIG2 LONG FIRED | Low:25651.75 | VWAP:25593.75 | Sep:58.00 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
